L,rate
0.0,17763.532267532657
0.01,17763.270115499527
0.02,17763.007908793174
0.03,17762.745647366308
0.04,17762.483331171556
0.05,17762.220960161652
0.06,17761.958534289242
0.07,17761.696053507
0.08,17761.433517767593
0.09,17761.170927023668
0.1,17760.908281227876
0.11,17760.645580332868
0.12,17760.38282429125
0.13,17760.120013055675
0.14,17759.857146578754
0.15,17759.59422481312
0.16,17759.331247711365
0.17,17759.06821522612
0.18,17758.805127309948
0.19,17758.54198391546
0.2,17758.27878499522
0.21,17758.015530501856
0.22,17757.752220387894
0.23,17757.488854605923
0.24,17757.22543310851
0.25,17756.961955848175
0.26,17756.698422777503
0.27,17756.434833849024
0.28,17756.17118901527
0.29,17755.907488228757
0.3,17755.64373144203
0.31,17755.3799186076
0.32,17755.11604967795
0.33,17754.85212460563
0.34,17754.58814334311
0.35,17754.324105842865
0.36,17754.06001205743
0.37,17753.79586193922
0.38,17753.531655440765
0.39,17753.267392514488
0.4,17753.00307311286
0.41,17752.738697188342
0.42,17752.474264693374
0.43,17752.209775580417
0.44,17751.945229801848
0.45,17751.68062731016
0.46,17751.415968057732
0.47,17751.151251996973
0.48,17750.886479080324
0.49,17750.621649260163
0.5,17750.356762488907
0.51,17750.091818718898
0.52,17749.82681790257
0.53,17749.561759992263
0.54,17749.296644940354
0.55,17749.03147269921
0.56,17748.766243221202
0.57,17748.50095645865
0.58,17748.235612363907
0.59,17747.970210889314
0.6,17747.70475198721
0.61,17747.439235609887
0.62,17747.17366170968
0.63,17746.908030238916
0.64,17746.642341149865
0.65,17746.376594394842
0.66,17746.11078992615
0.67,17745.844927696056
0.68,17745.579007656834
0.69,17745.313029760757
0.7,17745.046993960113
0.71,17744.780900207123
0.72,17744.514748454047
0.73,17744.248538653137
0.74,17743.982270756638
0.75,17743.71594471676
0.76,17743.44956048577
0.77,17743.183118015826
0.78,17742.916617259176
0.79,17742.65005816802
0.8,17742.383440694543
0.81,17742.11676479095
0.82,17741.850030409416
0.83,17741.583237502135
0.84,17741.31638602126
0.85,17741.04947591896
0.86,17740.782507147393
0.87,17740.5154796587
0.88,17740.248393405047
0.89,17739.981248338565
0.9,17739.714044411405
0.91,17739.446781575614
0.92,17739.179459783383
0.93,17738.91207898681
0.94,17738.64463913798
0.95,17738.377140189008
0.96,17738.109582091976
0.97,17737.84196479896
0.98,17737.574288262047
0.99,17737.30655243331
1.0,17737.03875726479
1.01,17736.770902708577
1.02,17736.5029887167
1.03,17736.235015241207
1.04,17735.966982234117
1.05,17735.69888964749
1.06,17735.43073743332
1.07,17735.162525543637
1.08,17734.89425393046
1.09,17734.625922545772
1.1,17734.35753134158
1.11,17734.089080269852
1.12,17733.820569282583
1.13,17733.551998331764
1.14,17733.28336736933
1.15,17733.01467634726
1.16,17732.745925217514
1.17,17732.47711393203
1.18,17732.208242442735
1.19,17731.939310701597
1.2,17731.670318660505
1.21,17731.401266271383
1.22,17731.132153486153
1.23,17730.862980256734
1.24,17730.593746535007
1.25,17730.32445227287
1.26,17730.055097422202
1.27,17729.78568193487
1.28,17729.516205762764
1.29,17729.24666885775
1.3,17728.97707117168
1.31,17728.707412656375
1.32,17728.437693263706
1.33,17728.167912945497
1.34,17727.898071653613
1.35,17727.62816933982
1.36,17727.35820595595
1.37,17727.08818145383
1.38,17726.818095785267
1.39,17726.547948902025
1.4,17726.277740755875
1.41,17726.00747129863
1.42,17725.73714048207
1.43,17725.466748257943
1.44,17725.196294577992
1.45,17724.925779394
1.46,17724.655202657683
1.47,17724.3845643208
1.48,17724.113864335082
1.49,17723.843102652205
1.5,17723.57227922397
1.51,17723.301394001985
1.52,17723.030446938013
1.53,17722.759437983732
1.54,17722.488367090842
1.55,17722.217234211028
1.56,17721.946039295934
1.57,17721.67478229722
1.58,17721.403463166585
1.59,17721.132081855656
1.6,17720.86063831608
1.61,17720.589132499492
1.62,17720.317564357516
1.63,17720.04593384181
1.64,17719.774240903942
1.65,17719.50248549553
1.66,17719.230667568194
1.67,17718.95878707351
1.68,17718.68684396307
1.69,17718.414838188455
1.7,17718.14276970125
1.71,17717.87063845298
1.72,17717.59844439526
1.73,17717.32618747959
1.74,17717.053867657527
1.75,17716.781484880612
1.76,17716.50903910037
1.77,17716.236530268332
1.78,17715.96395833599
1.79,17715.691323254883
1.8,17715.418624976464
1.81,17715.145863452268
1.82,17714.873038633763
1.83,17714.60015047243
1.84,17714.32719891973
1.85,17714.054183927125
1.86,17713.78110544606
1.87,17713.50796342801
1.88,17713.234757824397
1.89,17712.9614885867
1.9,17712.68815566626
1.91,17712.414759014566
1.92,17712.141298582974
1.93,17711.867774322945
1.94,17711.594186185834
1.95,17711.320534123035
1.96,17711.046818085943
1.97,17710.77303802592
1.98,17710.49919389433
1.99,17710.225285642555
2.0,17709.951313221947
2.01,17709.677276583803
2.02,17709.403175679505
2.03,17709.12901046036
2.04,17708.85478087771
2.05,17708.580486882838
2.06,17708.3061284271
2.07,17708.031705461737
2.08,17707.757217938084
2.09,17707.482665807394
2.1,17707.208049020985
2.11,17706.9333675301
2.12,17706.658621285987
2.13,17706.383810239913
2.14,17706.10893434314
2.15,17705.8339935469
2.16,17705.558987802408
2.17,17705.283917060904
2.18,17705.008781273606
2.19,17704.733580391698
2.2,17704.458314366435
2.21,17704.18298314895
2.22,17703.907586690475
2.23,17703.632124942167
2.24,17703.356597855196
2.25,17703.081005380736
2.26,17702.805347469937
2.27,17702.52962407394
2.28,17702.253835143918
2.29,17701.97798063094
2.3,17701.70206048622
2.31,17701.4260746608
2.32,17701.15002310583
2.33,17700.87390577237
2.34,17700.597722611576
2.35,17700.32147357452
2.36,17700.04515861224
2.37,17699.768777675843
2.38,17699.492330716377
2.39,17699.215817684915
2.4,17698.939238532515
2.41,17698.662593210178
2.42,17698.385881668975
2.43,17698.109103859897
2.44,17697.83225973401
2.45,17697.555349242288
2.46,17697.278372335753
2.47,17697.001328965365
2.48,17696.72421908217
2.49,17696.447042637108
2.5,17696.169799581156
2.51,17695.89248986526
2.52,17695.615113440417
2.53,17695.33767025753
2.54,17695.06016026759
2.55,17694.782583421485
2.56,17694.504939670198
2.57,17694.22722896457
2.58,17693.949451255558
2.59,17693.671606494056
2.6,17693.393694630944
2.61,17693.115715617147
2.62,17692.837669403492
2.63,17692.559555940883
2.64,17692.281375180162
2.65,17692.003127072207
2.66,17691.724811567863
2.67,17691.446428617954
2.68,17691.167978173304
2.69,17690.889460184746
2.7,17690.610874603113
2.71,17690.332221379205
2.72,17690.053500463793
2.73,17689.77471180769
2.74,17689.495855361714
2.75,17689.216931076575
2.76,17688.937938903087
2.77,17688.658878791986
2.78,17688.37975069404
2.79,17688.100554559987
2.8,17687.821290340573
2.81,17687.541957986516
2.82,17687.262557448543
2.83,17686.98308867735
2.84,17686.703551623646
2.85,17686.42394623815
2.86,17686.14427247153
2.87,17685.864530274474
2.88,17685.584719597668
2.89,17685.30484039174
2.9,17685.024892607373
2.91,17684.744876195204
2.92,17684.464791105886
2.93,17684.18463729006
2.94,17683.90441469832
2.95,17683.6241232813
2.96,17683.343762989618
2.97,17683.063333773873
2.98,17682.782835584618
2.99,17682.5022683725
3.0,17682.22163208804
3.01,17681.94092668184
3.02,17681.660152104454
3.03,17681.379308306412
3.04,17681.098395238278
3.05,17680.817412850596
3.06,17680.53636109388
3.07,17680.255239918646
3.08,17679.97404927542
3.09,17679.692789114684
3.1,17679.411459386956
3.11,17679.130060042713
3.12,17678.848591032467
3.13,17678.567052306615
3.14,17678.285443815672
3.15,17678.00376551008
3.16,17677.722017340293
3.17,17677.44019925675
3.18,17677.158311209867
3.19,17676.876353150074
3.2,17676.59432502778
3.21,17676.312226793416
3.22,17676.030058397326
3.23,17675.747819789955
3.24,17675.46551092166
3.25,17675.183131742804
3.26,17674.900682203774
3.27,17674.6181622549
3.28,17674.335571846554
3.29,17674.052910929055
3.3,17673.77017945275
3.31,17673.48737736796
3.32,17673.204504625
3.33,17672.921561174164
3.34,17672.63854696577
3.35,17672.355461950076
3.36,17672.07230607742
3.37,17671.789079298025
3.38,17671.50578156217
3.39,17671.222412820123
3.4,17670.93897302212
3.41,17670.6554621184
3.42,17670.3718800592
3.43,17670.088226794745
3.44,17669.804502275256
3.45,17669.520706450945
3.46,17669.236839271987
3.47,17668.95290068858
3.48,17668.66889065091
3.49,17668.38480910917
3.5,17668.100656013492
3.51,17667.81643131405
3.52,17667.53213496099
3.53,17667.24776690445
3.54,17666.963327094545
3.55,17666.678815481442
3.56,17666.39423201522
3.57,17666.10957664601
3.58,17665.824849323875
3.59,17665.540049998937
3.6,17665.255178621257
3.61,17664.970235140936
3.62,17664.685219508006
3.63,17664.400131672533
3.64,17664.114971584575
3.65,17663.829739194138
3.66,17663.5444344513
3.67,17663.25905730606
3.68,17662.973607708424
3.69,17662.688085608395
3.7,17662.402490955996
3.71,17662.11682370119
3.72,17661.83108379396
3.73,17661.545271184274
3.74,17661.25938582212
3.75,17660.973427657438
3.76,17660.687396640136
3.77,17660.40129272021
3.78,17660.115115847544
3.79,17659.828865972082
3.8,17659.542543043735
3.81,17659.256147012395
3.82,17658.96967782795
3.83,17658.68313544031
3.84,17658.396519799324
